"","lon","lat","HUNDRED_BLOCK","count","address"
"87",-122.7935855,49.0455311,"15500 24TH AVE",149,"15500 24TH AVE Surrey"
"88",-122.8456133,49.1774098,"9600 KING GEORGE BLVD",149,"9600 KING GEORGE BLVD Surrey"
"89",-122.8457214,49.1628028,"KING GEORGE BLVD / 88TH AVE",149,"KING GEORGE BLVD / 88TH AVE Surrey"
"90",-122.8513925,49.1334771,"13400 72ND AVE",147,"13400 72ND AVE Surrey"
"91",-122.8253831,49.1893991,"14300 103RD AVE",147,"14300 103RD AVE Surrey"
"92",-122.7992741,49.1572193,"12800 85TH AVE",146,"12800 85TH AVE Surrey"
"93",-122.8428438,49.1372118,"13700 74TH AVE",145,"13700 74TH AVE Surrey"
"94",-122.8397523,49.1877951,"13800 102ND AVE",145,"13800 102ND AVE Surrey"
"95",-122.8456819,49.1481481,"8000 KING GEORGE BLVD",144,"8000 KING GEORGE BLVD Surrey"
"96",-122.6877518,49.1051036,"19300 LANGLEY BPS",140,"19300 LANGLEY BPS Surrey"
"97",-122.805798,49.05574,"3000 KING GEORGE BLVD",140,"3000 KING GEORGE BLVD Surrey"
"98",-122.8009848,49.1915254,"104TH AVE / 152ND ST",139,"104TH AVE / 152ND ST Surrey"
"99",-122.8331923,49.1799044,"9800 140TH ST",138,"9800 140TH ST Surrey"
"100",-122.8421835,49.1973399,"13700 107A AVE",137,"13700 107A AVE Surrey"
"101",-122.8679492,49.1420995,"7700 128TH ST",137,"7700 128TH ST Surrey"
"102",-122.8791038,49.1520486,"12400 82ND AVE",136,"12400 82ND AVE Surrey"
"103",-122.8061309,49.1042007,"15100 56TH AVE",136,"15100 56TH AVE Surrey"
"104",-122.7346666,49.1380072,"176TH ST / FRASER HWY",136,"176TH ST / FRASER HWY Surrey"
"105",-122.8460331,49.1988019,"108TH AVE / KING GEORGE BLVD",134,"108TH AVE / KING GEORGE BLVD Surrey"
"106",-122.8669214,49.0496814,"2600 128TH ST",134,"2600 128TH ST Surrey"
"107",-122.8124861,49.1987331,"14800 108TH AVE",133,"14800 108TH AVE Surrey"
"108",-122.8881419,49.1489829,"8100 120A ST",133,"8100 120A ST Surrey"
"109",-122.8015659,49.1627892,"152ND ST / 88TH AVE",132,"152ND ST / 88TH AVE Surrey"
"110",-122.7788826,49.1572877,"16000 FRASER HWY",132,"16000 FRASER HWY Surrey"
"111",-122.734933,49.1187252,"176TH ST / 64TH AVE",132,"176TH ST / 64TH AVE Surrey"
