"","lon","lat"
"334",-122.7016878,49.128483
"335",-122.8456534,49.1435718
"336",-122.8881348,49.1486518
"337",-122.7635686,49.0213711
"338",-122.8346239,49.1770188
"339",-122.7821747,49.1552477
"340",-122.6936828,49.1334698
"341",-122.8424976,49.1365005
"342",-122.845802,49.1554464
"343",-122.8638143,49.1752985
"344",-122.8418961,49.191621
"345",-122.8488776,49.1423387
"346",-122.8490125,49.1913466
"347",-122.6915208,49.1189334
"348",-122.8456401,49.1770793
"349",-122.8676882,49.1880229
"350",-122.791108,49.1801293
"351",-122.8124328,49.1915509
"352",-122.8624555,49.1658125
"353",-122.8483889,49.1335337
"354",-122.8494732,49.2015857
"355",-122.8123695,49.1702295
"356",-122.8039145,49.1861313
"357",-122.8015546,49.1660461
"358",-122.8871448,49.1321217
"359",-122.834504,49.139065
"360",-122.7934881,49.1630471
"361",-122.8375197,49.1503782
"362",-122.867898,49.1265835
"363",-122.8546275,49.1939508
"364",-122.8175835,49.0329759
"365",-122.8067784,49.1077208
"366",-122.79818,49.184244
"367",-122.770218,49.151859
"368",-122.6897456,49.1078005
"369",-122.8232355,49.1190821
"370",-122.8680118,49.1587262
"371",-122.8047627,49.1881597
"372",-122.8009966,49.1887353
"373",-122.8650874,49.1549662
"374",-122.8199557,49.1985857
"375",-122.800977,49.1861213
"376",-122.7976403,49.1927599
"377",-122.811888,49.0400645
"378",-122.7791439,49.0454913
"379",-122.7934725,49.0455228
"380",-122.7750318,49.0465642
"381",-122.8315871,49.1045115
"382",-122.8903912,49.1449579
"383",-122.7925691,49.1850597
"384",-122.8879125,49.1945052
"385",-122.8341259,49.1988352
"386",-122.8679862,49.1410298
"387",-122.8622979,49.1553623
"388",-122.7336727,49.1098581
"389",-122.8449543,49.1208299
"390",-122.7790105,49.157423
"391",-122.8896261,49.189933
"392",-122.8064117,49.191529
"393",-122.8564806,49.1989606
"394",-122.8878188,49.1593844
"395",-122.8651617,49.1410106
"396",-122.8567154,49.1914671
"397",-122.8128679,49.1865328
"398",-122.7790315,49.1518601
"399",-122.7349329,49.1187799
"400",-122.8612639,49.1532141
"401",-122.6915208,49.1189334
"402",-122.8674434,49.2064008
"403",-122.8559592,49.1880561
"404",-122.8231132,49.191483
"405",-122.8566284,49.2060295
"406",-122.8901733,49.1771267
"407",-122.873492,49.1339772
"408",-122.8568485,49.1554579
"409",-122.8385382,49.129968
"410",-122.7348644,49.1765485
"411",-122.7791545,49.0456326
"412",-122.8852814,49.1385827
"413",-122.8676325,49.1664708
"414",-122.8120988,49.1841128
"415",-122.8089045,49.1877479
"416",-122.8230401,49.1987793
"417",-122.8427847,49.1335284
"418",-122.8184722,49.0384134
"419",-122.8013922,49.1262151
"420",-122.7966476,49.1960703
"421",-122.7822365,49.0484878
"422",-122.7018242,49.1237612
"423",-122.7567028,49.1042239
"424",-122.800912,49.1172237
"425",-122.8619315,49.1593797
"426",-122.8346239,49.1770188
"427",-122.843301,49.1843243
"428",-122.8901495,49.1826195
"429",-122.8707863,49.1482135
"430",-122.8598853,49.1402626
"431",-122.8387291,49.1372442
"432",-122.8341455,49.191431
"433",-122.8231132,49.191483
"434",-122.8233475,49.1745633
"435",-122.8010853,49.1043693
"436",-122.7384282,49.1060142
"437",-122.7347706,49.1480288
"438",-122.6833249,49.1039354
"439",-122.8012013,49.0528516
"440",-122.7108677,49.1180596
"441",-122.8566835,49.1336715
"442",-122.8612411,49.1501814
"443",-122.8844484,49.1707119
"444",-122.8332569,49.1793118
"445",-122.8460331,49.1988019
"446",-122.8517815,49.1881651
"447",-122.7953263,49.191468
"448",-122.8887578,49.1938267
"449",-122.8567591,49.1312234
"450",-122.8569672,49.1336548
"451",-122.8508088,49.1913778
"452",-122.8457999,49.2011319
"453",-122.8027412,49.1890758
"454",-122.8233729,49.1190813
"455",-122.8124923,49.1628934
"456",-122.801188,49.0517656
"457",-122.7348424,49.1115243
"458",-122.7322807,49.1086953
"459",-122.7719021,49.0492557
"460",-122.887434,49.117487
"461",-122.7757965,49.1607736
"462",-122.7902688,49.1616665
"463",-122.8432681,49.1861388
"464",-122.800977,49.1861213
"465",-122.8341455,49.191431
"466",-122.81124,49.193458
"467",-122.8064117,49.191529
"468",-122.8009966,49.1887353
"469",-122.7570459,49.0456631
"470",-122.8061949,49.03322
"471",-122.7905713,49.1263291
"472",-122.8038487,49.1867837
"473",-122.8677907,49.1190663
"474",-122.8669494,49.1449654
"475",-122.7820098,49.1609387
"476",-122.8457043,49.1261844
"477",-122.8060545,49.184538
"478",-122.8672468,49.1968826
"479",-122.8422474,49.1877814
"480",-122.8122227,49.1906032
"481",-122.7814832,49.1985904
"482",-122.7565033,49.1189367
"483",-122.8679948,49.1553493
"484",-122.8898579,49.175517
"485",-122.8123012,49.176918
"486",-122.8841232,49.1969701
"487",-122.8775273,49.2032884
"488",-122.8712025,49.1444357
"489",-122.8568644,49.1482312
"490",-122.8454558,49.1915591
"491",-122.8151586,49.1985317
"492",-122.812212,49.0331776
"493",-122.7344649,49.1135493
"494",-122.8666266,49.1466538
"495",-122.8535751,49.1975839
"496",-122.8677907,49.1190663
"497",-122.8039242,49.0310771
"498",-122.8025702,49.1163858
"499",-122.7843833,49.1553174
"500",-122.8038466,49.1870715
"501",-122.7125486,49.1287394
"502",-122.691065,49.1045395
"503",-122.7303116,49.1095958
"504",-122.8454907,49.1189993
"505",-122.8399159,49.1232443
"506",-122.8344657,49.1372641
"507",-122.7557081,49.143021
"508",-122.8674476,49.151616
"509",-122.8655454,49.1526431
"510",-122.8350549,49.1076089
"511",-122.8564403,49.1916291
"512",-122.7897491,49.19162
"513",-122.8661102,49.2008985
"514",-122.8868301,49.2013696
"515",-122.8814644,49.1919425
"516",-122.8599599,49.1476748
"517",-122.8426951,49.1987827
"518",-122.837189,49.1860376
"519",-122.7791545,49.0456326
"520",-122.8122283,49.0365998
"521",-122.8456608,49.144449
"522",-122.8314449,49.1664326
"523",-122.8787228,49.1975366
"524",-122.8742839,49.2050413
"525",-122.8707134,49.1228716
"526",-122.8563531,49.2061606
"527",-122.8506125,49.1441332
"528",-122.8428016,49.1349032
"529",-122.8397645,49.2043184
"530",-122.8123012,49.176918
"531",-122.8017734,49.0673491
"532",-122.8009727,49.1931843
"533",-122.7350056,49.1114308
"534",-122.7321117,49.1057429
"535",-122.7128145,49.104122
"536",-122.7042212,49.1225015
"537",-122.7019025,49.1260912
"538",-122.8903781,49.1230358
"539",-122.8902726,49.1341438
"540",-122.8440735,49.1699785
"541",-122.8380225,49.1952719
"542",-122.8544146,49.2114816
"543",-122.8652952,49.1481274
"544",-122.8519061,49.1905143
"545",-122.8538498,49.1263729
"546",-122.8479846,49.1869421
"547",-122.844782,49.1991827
"548",-122.8418971,49.1237835
"549",-122.8364278,49.1988229
"550",-122.8175283,49.1492416
"551",-122.8011438,49.1410654
"552",-122.7772544,49.0329185
"553",-122.6904365,49.1769572
"554",-122.7565033,49.1189367
"555",-122.845929,49.1750559
"556",-122.7563848,49.1479833
"557",-122.8341876,49.184176
"558",-122.8064117,49.191529
"559",-122.8507709,49.1989287
"560",-122.8449333,49.1154023
"561",-122.801871,49.067343
"562",-122.8011485,49.045672
"563",-122.7017418,49.1270637
"564",-122.7014305,49.1205942
"565",-122.7900469,49.0524497
"566",-122.8399124,49.1387687
"567",-122.7705332,49.1554558
"568",-122.8458381,49.1587103
"569",-122.8624563,49.1641942
"570",-122.8123695,49.1702295
"571",-122.8218245,49.0778666
"572",-122.8412511,49.1861169
"573",-122.8463359,49.1955539
"574",-122.867925,49.1338237
"575",-122.8480376,49.1950194
"576",-122.8461829,49.198804
"577",-122.8345953,49.1555205
"578",-122.8095617,49.1985352
"579",-122.795407,49.187036
"580",-122.7351642,49.0312032
"581",-122.728971,49.1039182
"582",-122.8013132,49.0615267
"583",-122.8522833,49.1301437
"584",-122.8450876,49.1298765
"585",-122.8902882,49.1320366
"586",-122.8427847,49.1335284
"587",-122.8007265,49.1377015
"588",-122.6949905,49.1745952
"589",-122.845723,49.1804914
"590",-122.8902321,49.1906095
"591",-122.8394022,49.1933825
"592",-122.8875676,49.1520363
"593",-122.8728542,49.148089
"594",-122.8373018,49.1261493
"595",-122.8123885,49.1927388
"596",-122.811972,49.195172
"597",-122.795103,49.0579956
"598",-122.7350025,49.1040924
"599",-122.88747,49.1229914
"600",-122.8565337,49.1517593
"601",-122.845802,49.1554464
"602",-122.8673906,49.1862751
"603",-122.850623,49.193487
"604",-122.8650569,49.1951279
"605",-122.8566279,49.1190718
"606",-122.8364782,49.1334318
"607",-122.7953263,49.191468
"608",-122.7811365,49.1602399
"609",-122.7822179,49.1586564
"610",-122.7678647,49.1189554
"611",-122.8566279,49.1190718
"612",-122.8674164,49.1267341
"613",-122.8538822,49.1318233
"614",-122.8456534,49.1435718
"615",-122.8611003,49.1758997
"616",-122.839394,49.182442
"617",-122.8691319,49.1752657
"618",-122.800842,49.198728
"619",-122.8564395,49.2022957
"620",-122.8553814,49.2028839
"621",-122.8150166,49.1188237
"622",-122.8124861,49.1987331
"623",-122.8031236,49.0543491
"624",-122.7982343,49.0323325
"625",-122.7743107,49.1536526
"626",-122.7759818,49.1559108
"627",-122.779208,49.0349145
"628",-122.7897591,49.0544686
"629",-122.8232953,49.1151483
"630",-122.8791065,49.133986
"631",-122.8563795,49.1382026
"632",-122.8457514,49.1700305
"633",-122.8691319,49.1752657
"634",-122.8505542,49.1916957
"635",-122.8874681,49.1482837
"636",-122.8804767,49.2106937
"637",-122.8679536,49.108177
"638",-122.8622954,49.1338647
"639",-122.8366756,49.1298181
"640",-122.8374575,49.1662855
"641",-122.7678285,49.1529235
"642",-122.7709513,49.0456226
"643",-122.6908712,49.0984819
"644",-122.7617751,49.1511956
"645",-122.7348772,49.1625943
"646",-122.8416108,49.183082
"647",-122.8825872,49.1992718
"648",-122.8960804,49.1879006
"649",-122.8483238,49.1971084
"650",-122.8669309,49.2047432
"651",-122.8540248,49.1554299
"652",-122.8513404,49.1886676
"653",-122.800842,49.198728
"654",-122.7821539,49.176849
"655",-122.8898309,49.1390255
"656",-122.8005391,49.143288
"657",-122.8568644,49.1482312
"658",-122.778841,49.155475
"659",-122.8120161,49.1682586
"660",-122.7934725,49.0455228
"661",-122.8887578,49.1938267
"662",-122.8505542,49.1916957
"663",-122.8393871,49.1952236
"664",-122.8847738,49.2057238
"665",-122.8756861,49.0541195
"666",-122.8534626,49.1336542
"667",-122.8737819,49.132127
"668",-122.8515229,49.1699953
"669",-122.8386006,49.1372403
"670",-122.8313668,49.190528
"671",-122.8120988,49.1841128
"672",-122.7958391,49.1634972
"673",-122.7901955,49.1628636
"674",-122.7621537,49.15083
"675",-122.7355715,49.0745788
"676",-122.7215772,49.129556
"677",-122.7017013,49.1041526
"678",-122.857592,49.1098191
"679",-122.8510613,49.1516843
"680",-122.8008676,49.1825757
"681",-122.8456069,49.1371466
"682",-122.8781821,49.2028648
"683",-122.7350025,49.1040924
"684",-122.789804,49.184357
"685",-122.8565405,49.184382
"686",-122.8657864,49.1861378
"687",-122.8564403,49.1916291
"688",-122.845199,49.1944662
"689",-122.8299499,49.1953887
"690",-122.82306,49.195177
"691",-122.8790635,49.1483885
"692",-122.861909,49.206369
"693",-122.850961,49.2048495
"694",-122.845305,49.1334864
"695",-122.8235099,49.1045828
"696",-122.7787677,49.1627622
"697",-122.7745017,49.1189089
"698",-122.7587547,49.1132405
"699",-122.6824637,49.1276293
"700",-122.801149,49.0383719
"701",-122.8122361,49.0635108
"702",-122.8201619,49.0797713
"703",-122.873492,49.1339772
"704",-122.8004235,49.146678
"705",-122.8345958,49.1522596
"706",-122.8421024,49.1770592
"707",-122.7894501,49.1862087
"708",-122.8902726,49.1341438
"709",-122.8848226,49.1339831
"710",-122.8790008,49.119286
"711",-122.872391,49.16194
"712",-122.8673263,49.0492678
"713",-122.8678262,49.1338206
"714",-122.8206864,49.1910322
"715",-122.8124328,49.1915509
"716",-122.7792757,49.198568
"717",-122.7351642,49.0312032
"718",-122.6603519,49.1041779
"719",-122.6915985,49.0601063
"720",-122.8110964,49.06072
"721",-122.7040973,49.1178518
"722",-122.8480601,49.1368548
"723",-122.8552935,49.1664786
"724",-122.7007549,49.1786804
"725",-122.689575,49.1788664
"726",-122.7352358,49.0040196
"727",-122.8432505,49.1877857
"728",-122.8677121,49.1916511
"729",-122.8536936,49.2110024
"730",-122.8480999,49.208722
"731",-122.8373684,49.1782523
"732",-122.8233196,49.1555816
"733",-122.8039739,49.184207
"734",-122.786913,49.1822943
"735",-122.8047098,49.0331985
"736",-122.7349341,49.1087068
"737",-122.7350025,49.1040924
"738",-122.8011343,49.0347542
"739",-122.6911716,49.1026343
"740",-122.7349737,49.105994
"741",-122.691091,49.115217
"742",-122.6985898,49.1335515
"743",-122.8848226,49.1339831
"744",-122.8867098,49.1522101
"745",-122.8568485,49.1554579
"746",-122.795785,49.1682739
"747",-122.8233475,49.1745633
"748",-122.7950054,49.1853299
"749",-122.7925675,49.1850904
"750",-122.8875434,49.1266978
"751",-122.8862134,49.1392563
"752",-122.8567768,49.1082609
"753",-122.8564815,49.2063838
"754",-122.8513795,49.1770442
"755",-122.8485825,49.1441131
"756",-122.7897491,49.19162
"757",-122.7239003,49.1041422
"758",-122.6828935,49.0998273
"759",-122.77906,49.0995721
"760",-122.6982544,49.1318848
"761",-122.8502376,49.1391815
"762",-122.8882647,49.1431718
"763",-122.7735422,49.1553038
"764",-122.8013318,49.1555436
"765",-122.8900787,49.1771248
"766",-122.8124332,49.1914609
